arm,route,status,DS,RC,n_collisions,duration_game,t_col,col_type,pinned_s,expert_status,expert_DS,extra_collision,stuck,stuck_vs_expert,n_track,e_lat_med,e_lat_p95,e_lon_med,abs_e_lon_med,abs_e_lon_p95,e_head_med,stuck_cause
E-a,11381,Completed,100.0,100,0,54.45,,,,,,,,,,,,,,,,
E-a,1711,Completed,100.0,100,0,17.8,,,,,,,,,,,,,,,,
E-a,17563,Completed,100.0,100,0,17.05,,,,,,,,,,,,,,,,
E-a,1825,Completed,100.0,100,0,30.55,,,,,,,,,,,,,,,,
E-a,1833,Completed,100.0,100,0,30.5,,,,,,,,,,,,,,,,
E-a,1852,Completed,100.0,100,0,39.75,,,,,,,,,,,,,,,,
E-a,1956,Completed,100.0,100,0,21.75,,,,,,,,,,,,,,,,
E-a,2084,Completed,100.0,100,0,16.05,,,,,,,,,,,,,,,,
E-a,2086,Completed,100.0,100,0,15.0,,,,,,,,,,,,,,,,
E-a,2091,Completed,100.0,100,0,13.45,,,,,,,,,,,,,,,,
E-a,2115,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
E-a,2286,Completed,100.0,100,0,9.05,,,,,,,,,,,,,,,,
E-a,2373,Completed,100.0,100,0,57.45,,,,,,,,,,,,,,,,
E-a,2390,Completed,100.0,100,0,5.95,,,,,,,,,,,,,,,,
E-a,24211,Completed,100.0,100,0,16.1,,,,,,,,,,,,,,,,
E-a,24330,Completed,100.0,100,0,24.45,,,,,,,,,,,,,,,,
E-a,26458,Completed,100.0,100,0,12.25,,,,,,,,,,,,,,,,
E-a,2668,Completed,100.0,100,0,25.95,,,,,,,,,,,,,,,,
E-a,3564,Failed - Agent got blocked,9.806035,51.01,3,302.3,,,,,,,,,,,,,,,,
E-a,4183,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
E-b,11381,Completed,100.0,100,0,54.5,,,,,,,,,,,,,,,,
E-b,1711,Completed,100.0,100,0,17.8,,,,,,,,,,,,,,,,
E-b,17563,Completed,100.0,100,0,18.45,,,,,,,,,,,,,,,,
E-b,1825,Completed,100.0,100,0,30.5,,,,,,,,,,,,,,,,
